method,coverage,nominal,coverage_gap,mean_width,median_width,crossing_rate,width_ratio_wrong_right,aurc,aurc_oracle,e_aurc,error_auroc
saqa_stgcn,0.98,0.9,0.07999999999999996,1.3044786313176155,1.3109347894787788,0.0,1.0052264854517465,0.3337014345969519,0.21483438596950089,0.11886704862745101,0.5113636363636364
stgcn_dense,0.98,0.9,0.07999999999999996,1.3044786313176155,1.3109347894787788,0.0,1.0052264854517465,0.3337014345969519,0.21483438596950089,0.11886704862745101,0.5113636363636364
stgcn_reference,0.98,0.9,0.07999999999999996,1.3044786313176155,1.3109347894787788,0.0,1.0052264854517465,0.3337014345969519,0.21483438596950089,0.11886704862745101,0.5113636363636364
tcn,1.0,0.9,0.09999999999999998,1.334478969015181,1.347363356500864,0.0,0.989891921948558,0.34407541473921477,0.19053436620779218,0.15354104853142259,0.4177777777777778
lstm,1.0,0.9,0.09999999999999998,1.3128658036887646,1.3114824704825878,0.0,1.0005043736426442,0.32382141784996193,0.16701967772326662,0.15680174012669532,0.4962121212121212
frame_average,0.98,0.9,0.07999999999999996,0.9445685924589634,0.9767785184085369,0.0,0.9455744284598963,0.25270571304729383,0.0845760828235719,0.16812963022372193,0.3837011884550085
kinematic_gbr,0.68,0.9,-0.21999999999999997,0.4970273292921366,0.5040140720907433,0.0,0.9690454464386651,0.20484599572891496,0.06843569647717498,0.13641029925173997,0.3645320197044335
dtw_reference,0.88,0.9,-0.020000000000000018,0.5971890131822616,0.5971890131822615,0.0,1.0000000000000002,0.15560633278496336,0.05896851809709852,0.09663781468786484,0.44416666666666665
framewise_reference,0.74,0.9,-0.16000000000000003,0.5999189640084903,0.5999189640084903,0.0,1.0,0.18365192637648903,0.0828222369497522,0.10082968942673683,0.43404634581105167
