architecture,seed,overall_spearman,gait,lunge,overhead_press,squat,throw
saqa_stgcn,0,0.3842210380103734,0.5566825952853633,0.3554815161998153,0.3629947470734198,0.5012935648244481,0.2594848290688927
saqa_stgcn,7,0.26342681414166846,0.4649767307971669,0.2695056111980036,0.4624316956746747,0.3193223018933413,-0.07252386163562168
saqa_stgcn,1337,0.42795121538853315,0.651330599464751,0.426177439067638,0.21069418386491562,0.6278234553680131,0.26254778184912664
tcn,0,0.33051168304172296,0.036263110357995794,0.45218728107497963,0.3505619326732084,0.5641580490864136,0.3012315996761909
tcn,7,0.2684518003236075,0.3145541292751432,0.29462289901185085,0.40710382662054084,0.2964049530159621,0.11106178905502236
tcn,1337,0.2521398618996074,0.3545591910162725,0.1714044948121136,0.13245778611632272,0.5418243429952132,0.2545859887853245
