method,gait,gait__n,lunge,lunge__n,overhead_press,overhead_press__n,squat,squat__n,throw,throw__n
saqa_stgcn,0.11515151515151514,10.0,-0.22754898976351917,8.0,-0.34545454545454546,10.0,-0.792824967172092,7.0,0.24865873970397426,15.0
stgcn_dense,0.11515151515151514,10.0,-0.22754898976351917,8.0,-0.34545454545454546,10.0,-0.792824967172092,7.0,0.24865873970397426,15.0
stgcn_reference,0.11515151515151514,10.0,-0.22754898976351917,8.0,-0.34545454545454546,10.0,-0.792824967172092,7.0,0.24865873970397426,15.0
tcn,0.09090909090909088,10.0,-0.10778636357219329,8.0,0.41818181818181815,10.0,0.48650622985560193,7.0,0.10631062059807597,15.0
lstm,0.12727272727272726,10.0,0.7065994945288229,8.0,0.7575757575757575,10.0,0.6847124716486249,7.0,-0.20721561641997854,15.0
frame_average,0.2606060606060606,10.0,0.19162020190612145,8.0,0.4424242424242424,10.0,0.594618725379069,7.0,-0.15315936865824503,15.0
kinematic_gbr,0.7333333333333332,10.0,-0.47905050476530353,8.0,-0.06666666666666665,10.0,0.504524979109513,7.0,-0.03783937343321348,15.0
dtw_reference,,10.0,0.03636430421741318,8.0,0.8181818181818182,10.0,0.790909090909091,7.0,0.5559003807534326,15.0
framewise_reference,,10.0,0.018524166130274862,8.0,0.13767902008851546,10.0,0.6419666752419568,7.0,0.31269438398822863,15.0
