variant,change,spearman,kendall_tau,pearson,relative_l2,mae,rmse,tie_fraction_truth,n,coverage,nominal,coverage_gap,mean_width,median_width,crossing_rate,width_wrong,width_right,width_ratio_wrong_right,n_wrong,aurc,aurc_oracle,e_aurc,error_auroc,best_epoch,best_val_spearman,train_seconds,n_train,n_val,n_test,params,spearman_delta,spearman_noise_scale,spearman_ratio_to_noise,spearman_verdict
full,-,0.35988005708682586,0.24518212534634304,0.35492801993341916,0.2517794312318126,0.15160453057289122,0.1893131369833294,0.14,250.0,0.888,0.9,-0.01200000000000001,0.6218309718966484,0.6271466910839081,0.0,0.6236545962054987,0.619184928781846,1.0072186308417521,148.0,0.14100567864554367,0.06727816231982517,0.0737275163257185,0.5351086380498146,6.0,0.4189371827678833,115.97331410000334,638.0,112.0,250.0,66791.0,0.0,0.1205153538478361,0.0,inside noise
partitions_uniform,model.partitions=uniform,0.45881210906231473,0.3133711737027883,0.4456978729310883,0.23930682134261716,0.14452356135845185,0.17993497256004531,0.14,250.0,0.892,0.9,-0.008000000000000007,0.5843528485298157,0.5907784141600132,0.0,0.5897889736791452,0.5761986608058214,1.0235861583821066,150.0,0.13444622377608656,0.06373862815193641,0.07070759562415015,0.5525333333333333,7.0,0.49819210301114014,61.82587910001166,638.0,112.0,250.0,43135.0,0.09893205197548888,0.1205153538478361,0.820908281117454,inside noise
partitions_identity,model.partitions=identity,0.4022102918739658,0.2732103545470893,0.3951098686671188,0.2463879242074717,0.1467486823797226,0.18525925894074266,0.14,250.0,0.872,0.9,-0.028000000000000025,0.5664531124830245,0.5732433795928955,0.0,0.571915280937359,0.5581219262546964,1.024713873499333,151.0,0.1378495085508752,0.06297604405535805,0.07487346449551714,0.5633152719245434,6.0,0.4514991492446997,54.906067499978235,638.0,112.0,250.0,43135.0,0.04233023478713993,0.1205153538478361,0.351243500812241,inside noise
no_edge_importance,model.edge_importance=False,0.35650000618132854,0.24193811733699738,0.3531698729977652,0.25204581929826453,0.15181388926506043,0.1895134343637318,0.14,250.0,0.904,0.9,0.0040000000000000036,0.6305976445674897,0.6353640854358673,0.0,0.6336493224513774,0.62624233729631,1.0118276659272922,147.0,0.1434219078936937,0.06741192573837723,0.07600998215531646,0.5488408955815336,6.0,0.4202194865146731,69.99964520000503,638.0,112.0,250.0,63323.0,-0.0033800509054973116,0.1205153538478361,0.02804664134135969,inside noise
dense_temporal,model.separable=False,0.351021170538379,0.23700722516279205,0.3473416117892481,0.25361795819438515,0.15545612180233,0.19069552674015025,0.14,250.0,0.9,0.9,0.0,0.6275777735710144,0.6306269317865372,0.0,0.6298205850657469,0.6235205527771724,1.0101039689237412,161.0,0.1456944501256682,0.06990697300826555,0.07578747711740265,0.5333240281945705,7.0,0.46844265608561614,83.17857329998515,638.0,112.0,250.0,194007.0,-0.008858886548446854,0.1205153538478361,0.07350836441663834,inside noise
temporal_kernel_3,model.temporal_kernel=3,0.38282441174316445,0.26218072731531417,0.3808248181624995,0.24895930410023598,0.15116554522514344,0.18719268134738423,0.14,250.0,0.916,0.9,0.016000000000000014,0.6435427199006081,0.6567671597003937,0.0,0.6480204056164152,0.6365977379740501,1.0179433054203386,152.0,0.13749765187086155,0.06665340653730616,0.07084424533355539,0.5620300751879699,6.0,0.4307600233132855,81.60675560001982,638.0,112.0,250.0,65399.0,0.022944354656338595,0.1205153538478361,0.19038532372653835,inside noise
head_regression,model.head=regression,0.39030820590957965,0.27029074733867825,0.38738199345374963,0.25850790011632135,0.14847977781295776,0.19437227761840498,0.14,250.0,0.884,0.9,-0.016000000000000014,0.5664881765842438,0.5699781775474548,0.0,0.5749928565776866,0.5560091958780374,1.0341427099414617,138.0,0.14211511637031699,0.06031522091091832,0.08179989545939867,0.594332298136646,6.0,0.4548331389863533,93.0877865999937,638.0,112.0,250.0,66782.0,0.030428148822753798,0.1205153538478361,0.2524835869558387,inside noise
norm_group,model.norm=group,0.07455069501723413,0.048984520941119075,0.07549337164316641,0.2665075012461129,0.16447283399105073,0.20038718351078466,0.14,250.0,0.944,0.9,0.04399999999999993,0.6420731552839279,0.6423542350530624,0.0,0.6421034465817844,0.6420087862759829,1.0001474439413058,170.0,0.15518364644963945,0.07578600088247968,0.07939764556715977,0.5186764705882353,5.0,0.1148260261792068,88.99058230000082,638.0,112.0,250.0,66791.0,-0.2853293620695917,0.1205153538478361,2.367576851907612,survives
uncertainty_heteroscedastic,model.uncertainty=heteroscedastic,0.3532745378087106,0.23901851012858633,0.3580366731585696,0.24922668619508614,0.15515418636798858,0.18739372613846034,0.14,250.0,0.904,0.9,0.0040000000000000036,0.5482126075029373,0.5534975677728653,0.0,0.5542313924318627,0.5378759986032611,1.0304073687449762,158.0,0.13896627857507746,0.07423207168244232,0.06473420689263513,0.5614336818932306,7.0,0.4028143503249125,92.73786880000262,638.0,112.0,250.0,66694.0,-0.006605519278115257,0.1205153538478361,0.05481060352239809,inside noise
