metric,method,value,reference,reference_value,delta,noise_scale,ratio_to_noise,verdict
spearman,saqa_stgcn,0.3842210380103734,dtw_reference,0.4995916654008075,-0.11537062739043413,0.1205153538478361,0.9573106140160552,inside noise
spearman,stgcn_dense,0.3507050838666704,dtw_reference,0.4995916654008075,-0.14888658153413714,0.1205153538478361,1.2354158767365264,suggestive
spearman,tcn,0.3305116830417229,dtw_reference,0.4995916654008075,-0.1690799823590846,0.1205153538478361,1.4029746166000285,suggestive
spearman,lstm,0.3569060737303849,dtw_reference,0.4995916654008075,-0.1426855916704226,0.1205153538478361,1.183961936091387,suggestive
spearman,frame_average,0.2381328537660617,dtw_reference,0.4995916654008075,-0.2614588116347458,0.1205153538478361,2.1695062354035515,survives
spearman,untrained_stgcn,-0.0547281002319853,dtw_reference,0.4995916654008075,-0.5543197656327928,0.1205153538478361,4.5995779619307475,robust
spearman,kinematic_gbr,0.5968458511830146,dtw_reference,0.4995916654008075,0.09725418578220707,0.1205153538478361,0.806985854308665,inside noise
spearman,framewise_reference,0.419075583558737,dtw_reference,0.4995916654008075,-0.08051608184207054,0.1205153538478361,0.6680981241919678,inside noise
kendall_tau,saqa_stgcn,0.2641271321209215,dtw_reference,0.3466805439787123,-0.0825534118577908,0.0806100290908103,1.0241084488977321,suggestive
kendall_tau,stgcn_dense,0.2380453077257826,dtw_reference,0.3466805439787123,-0.10863523625292967,0.0806100290908103,1.3476640249136729,suggestive
kendall_tau,tcn,0.2280537630569981,dtw_reference,0.3466805439787123,-0.11862678092171419,0.0806100290908103,1.4716131759247544,suggestive
kendall_tau,lstm,0.2423273982981188,dtw_reference,0.3466805439787123,-0.10435314568059348,0.0806100290908103,1.2945429601946383,suggestive
kendall_tau,frame_average,0.1633033631904592,dtw_reference,0.3466805439787123,-0.18337718078825307,0.0806100290908103,2.274868063645922,survives
kendall_tau,untrained_stgcn,-0.0358201786526459,dtw_reference,0.3466805439787123,-0.3825007226313582,0.0806100290908103,4.745076102136824,robust
kendall_tau,kinematic_gbr,0.4271060945104462,dtw_reference,0.3466805439787123,0.08042555053173389,0.0806100290908103,0.9977114688934228,inside noise
kendall_tau,framewise_reference,0.2949970108165513,dtw_reference,0.3466805439787123,-0.05168353316216101,0.0806100290908103,0.6411551235633164,inside noise
relative_l2,saqa_stgcn,0.2498022566870319,dtw_reference,0.2407418873605327,0.009060369326499201,0.0107724224449515,0.8410707408476491,inside noise
relative_l2,stgcn_dense,0.2517860043968599,dtw_reference,0.2407418873605327,0.011044117036327183,0.0107724224449515,1.0252213086484567,suggestive
relative_l2,tcn,0.2521197910711221,dtw_reference,0.2407418873605327,0.011377903710589388,0.0107724224449515,1.0562066024361723,suggestive
relative_l2,lstm,0.249835780277679,dtw_reference,0.2407418873605327,0.009093892917146296,0.0107724224449515,0.8441827233955305,inside noise
relative_l2,frame_average,0.2625624547332051,dtw_reference,0.2407418873605327,0.021820567372672406,0.0107724224449515,2.025595216320042,survives
relative_l2,untrained_stgcn,0.6318774206875993,dtw_reference,0.2407418873605327,0.39113553332706663,0.0107724224449515,36.3089672100979,robust
relative_l2,kinematic_gbr,0.2140104751831774,dtw_reference,0.2407418873605327,-0.026731412177355307,0.0107724224449515,2.4814671271904114,survives
relative_l2,framewise_reference,0.2524229556235968,dtw_reference,0.2407418873605327,0.011681068263064087,0.0107724224449515,1.0843492559594545,suggestive
mae,saqa_stgcn,0.1526094502210617,dtw_reference,0.1452274778566474,0.007381972364414291,0.0079503516933438,0.9285089074228794,inside noise
mae,stgcn_dense,0.1540854879617691,dtw_reference,0.1452274778566474,0.008858010105121689,0.0079503516933438,1.1141658189206647,suggestive
mae,tcn,0.1556679134368896,dtw_reference,0.1452274778566474,0.010440435580242186,0.0079503516933438,1.3132042434026077,suggestive
mae,lstm,0.1560828477144241,dtw_reference,0.1452274778566474,0.010855369857776687,0.0079503516933438,1.3653949254678919,suggestive
mae,frame_average,0.1600095418691635,dtw_reference,0.1452274778566474,0.014782064012516083,0.0079503516933438,1.859296869205413,suggestive
mae,untrained_stgcn,0.4353142356872558,dtw_reference,0.1452274778566474,0.2900867578306084,0.0079503516933438,36.487286225774774,robust
mae,kinematic_gbr,0.1289477453200695,dtw_reference,0.1452274778566474,-0.016279732536577912,0.0079503516933438,2.047674513595121,survives
mae,framewise_reference,0.1511616323539879,dtw_reference,0.1452274778566474,0.005934154497340499,0.0079503516933438,0.7464015085406469,inside noise
coverage,saqa_stgcn,0.896,dtw_reference,0.864,0.03200000000000003,0.0328462096916948,0.9742372194649681,inside noise
coverage,stgcn_dense,0.86,dtw_reference,0.864,-0.0040000000000000036,0.0328462096916948,0.12177965243312101,inside noise
coverage,tcn,0.864,dtw_reference,0.864,0.0,0.0328462096916948,0.0,inside noise
coverage,lstm,0.8,dtw_reference,0.864,-0.06399999999999995,0.0328462096916948,1.9484744389299329,suggestive
coverage,frame_average,0.932,dtw_reference,0.864,0.06800000000000006,0.0328462096916948,2.0702540913630574,survives
coverage,untrained_stgcn,1.0,dtw_reference,0.864,0.136,0.0328462096916948,4.140508182726111,robust
coverage,kinematic_gbr,0.88,dtw_reference,0.864,0.016000000000000014,0.0328462096916948,0.48711860973248405,inside noise
coverage,framewise_reference,0.868,dtw_reference,0.864,0.0040000000000000036,0.0328462096916948,0.12177965243312101,inside noise
mean_width,saqa_stgcn,0.6021076580286026,dtw_reference,0.5396050593692633,0.06250259865933927,0.0179506512807011,3.4819125881263346,robust
mean_width,stgcn_dense,0.6308629903197288,dtw_reference,0.5396050593692633,0.09125793095046553,0.0179506512807011,5.083822838705452,robust
mean_width,tcn,0.5767946773469448,dtw_reference,0.5396050593692633,0.0371896179776815,0.0179506512807011,2.0717698425607756,survives
mean_width,lstm,0.6037057447582483,dtw_reference,0.5396050593692633,0.06410068538898506,0.0179506512807011,3.570939259340426,robust
mean_width,frame_average,0.5998528338670731,dtw_reference,0.5396050593692633,0.060247774497809825,0.0179506512807011,3.3563002007945375,robust
mean_width,untrained_stgcn,1.4093945438563824,dtw_reference,0.5396050593692633,0.8697894844871191,0.0179506512807011,48.45448061387262,robust
