metric,mean,sd,min,max,range,noise_scale,n_runs
spearman,0.35853302251352503,0.0852172239429012,0.26342681414166846,0.42795121538853315,0.16452440124686468,0.12051535384783611,3
kendall_tau,0.2481483666140932,0.05699989820175685,0.18486433959318246,0.29545362812817555,0.11058928853499309,0.08061002909081033,3
relative_l2,0.24560273458715098,0.007617252960631382,0.23681002551218402,0.2501959215622371,0.013385896050053053,0.010772422444951513,3
mae,0.146575468518214,0.005621747595181376,0.14148547389660496,0.1526094502210617,0.011123976324456747,0.007950351693343835,3
coverage,0.9133805020880335,0.023225777609272732,0.896,0.9397590361445783,0.04375903614457832,0.03284620969169486,3
mean_width,0.5996562815446932,0.012693027247298762,0.585916361176824,0.610944825428653,0.02502846425182903,0.017950651280701144,3
aurc,0.14105289072843577,0.013586139798358805,0.12691769169232545,0.15401373262889032,0.02709604093656487,0.01921370316313589,3
error_auroc,0.5179605879741528,0.03651106322799503,0.47607655502392343,0.5430683667932719,0.06699181176934843,0.05163444079369217,3
