split,spearman,kendall_tau,pearson,relative_l2,mae,rmse,tie_fraction_truth,n,coverage,nominal,coverage_gap,mean_width,median_width,crossing_rate,width_wrong,width_right,width_ratio_wrong_right,n_wrong,aurc,aurc_oracle,e_aurc,error_auroc,best_epoch,best_val_spearman,train_seconds,n_train,n_val,n_test,params
random,0.33329686962122473,0.23438913897145247,0.34573769480986577,0.2660276501181594,0.15559788608551026,0.19587645621652255,0.128,250.0,0.832,0.9,-0.06800000000000006,0.5430638088881969,0.5470294207334518,0.0,0.5435573357030933,0.5421552708880468,1.002586094593805,162.0,0.1726115832268052,0.06957794083752714,0.10303364238927806,0.5422979797979798,7.0,0.4720330741153492,101.65017910001916,638.0,112.0,250.0,66791.0
subject,0.3842210380103734,0.26412713212092154,0.3787689985735085,0.2498022566870319,0.1526094502210617,0.18782649800887166,0.14,250.0,0.896,0.9,-0.0040000000000000036,0.6021076580286026,0.6119292676448822,0.0,0.605341322575846,0.5968316790304686,1.0142580292641319,155.0,0.14222724786409155,0.06801514999531523,0.07421209786877632,0.5347368421052632,7.0,0.4408132846881178,103.58108569998876,638.0,112.0,250.0,66791.0
combination,0.16789306009090701,0.11485706964420812,0.17005319656409423,0.5936388235311769,0.2648212743941883,0.3146291445718164,0.010101010101010102,198.0,0.51010101010101,0.9,-0.38989898989898997,0.4537542974105989,0.4652629792690277,0.0,0.4489357725608568,0.4761948559965406,0.9427564512879119,163.0,0.2905863168624019,0.12945816582847094,0.16112815103393094,0.38580192813321645,9.0,0.5772526207293267,109.61285830000998,682.0,120.0,198.0,66791.0
