method,family,spearman,kendall_tau,pearson,relative_l2,mae,rmse,tie_fraction_truth,n,coverage,nominal,coverage_gap,mean_width,median_width,crossing_rate,width_wrong,width_right,width_ratio_wrong_right,n_wrong,aurc,aurc_oracle,e_aurc,error_auroc,best_epoch,best_val_spearman,train_seconds,n_train,n_val,n_test,params
saqa_stgcn,neural,0.3842210380103734,0.26412713212092154,0.3787689985735085,0.2498022566870319,0.1526094502210617,0.18782649800887166,0.14,250.0,0.896,0.9,-0.0040000000000000036,0.6021076580286026,0.6119292676448822,0.0,0.605341322575846,0.5968316790304686,1.0142580292641319,155.0,0.14222724786409155,0.06801514999531523,0.07421209786877632,0.5347368421052632,7.0,0.4408132846881178,265.50959530001273,638.0,112.0,250.0,66791.0
stgcn_dense,neural,0.3507050838666704,0.23804530772578264,0.34059527510834015,0.25178600439685994,0.1540854879617691,0.18931807935089667,0.14,250.0,0.86,0.9,-0.040000000000000036,0.6308629903197288,0.6319982409477234,0.0,0.6307336139408025,0.6310705315942565,0.9994661172775682,154.0,0.14877993390480027,0.07040667197677138,0.07837326192802889,0.5085903679653679,7.0,0.4862666781659948,214.1941616999975,638.0,112.0,250.0,194007.0
tcn,neural,0.33051168304172296,0.2280537630569981,0.355280972631518,0.2521197910711221,0.15566791343688965,0.18956905379340233,0.14,250.0,0.864,0.9,-0.03600000000000003,0.5767946773469448,0.5588952302932739,0.0,0.5798739748004871,0.5715063186767309,1.0146414061407594,158.0,0.14381391631032095,0.07262752884362293,0.07118638746669802,0.5490506329113924,9.0,0.44908841820073486,41.57337200001348,638.0,112.0,250.0,122707.0
lstm,neural,0.3569060737303849,0.24232739829811886,0.36825186844190866,0.24983578027767908,0.15608284771442413,0.18785170442099722,0.14,250.0,0.8,0.9,-0.09999999999999998,0.6037057447582483,0.5977839380502701,0.0,0.6056121734925258,0.6001961827701465,1.0090237007129608,162.0,0.15564524446818415,0.07420134814761234,0.08144389632057181,0.49852693602693604,9.0,0.4452158608854296,393.53910170000745,638.0,112.0,250.0,159859.0
frame_average,neural,0.23813285376606178,0.16330336319045924,0.2664611210229172,0.2625624547332051,0.16000954186916352,0.197420900176003,0.14,250.0,0.932,0.9,0.03200000000000003,0.5998528338670731,0.5998742431402206,0.0,0.5993581309258563,0.6007172049401881,0.9977375810062455,159.0,0.16021093479812995,0.07171815569745324,0.08849277910067671,0.49713179901859145,6.0,0.2915702259450719,4.315301199996611,638.0,112.0,250.0,25965.0
untrained_stgcn,control,-0.054728100231985315,-0.035820178652645966,-0.022251994298600638,0.6318774206875993,0.43531423568725586,0.47510909097720566,0.14,250.0,1.0,0.9,0.09999999999999998,1.4093945438563824,1.40939349681139,0.0,1.4093992083022993,1.409282597154379,1.0000827450421623,240.0,0.43964985350003494,0.26285356258080095,0.176796290919234,0.5552083333333333,,,,,,,66791.0
kinematic_gbr,baseline,0.5968458511830146,0.42710609451044623,0.5972624193617562,0.21401047518317745,0.12894774532006958,0.1609146315328604,0.14,250.0,0.88,0.9,-0.020000000000000018,0.5693370695294643,0.5980923680014557,0.0,0.5721939360597748,0.5661412527328462,1.0106911186876268,132.0,0.1251660411460659,0.0570960677631125,0.0680699733829534,0.539836928608115,,,,,,,
dtw_reference,baseline,0.4995916654008075,0.34668054397871234,0.48296840772915783,0.24074188736053279,0.14522747785664747,0.18101399973990914,0.14,250.0,0.864,0.9,-0.03600000000000003,0.5396050593692633,0.5396050593692632,0.0,0.5396050593692632,0.5396050593692632,1.0,145.0,0.14849953698970383,0.06326591727735616,0.08523361971234768,0.47435139573070606,,,,,,,
framewise_reference,baseline,0.41907558355873703,0.29499701081655133,0.42128978752769736,0.25242295562359685,0.1511616323539879,0.18979700344032288,0.14,250.0,0.868,0.9,-0.03200000000000003,0.5702634198032881,0.5702634198032881,0.0,0.570263419803288,0.570263419803288,1.0,150.0,0.151075651297884,0.06407048761390251,0.08700516368398149,0.5193333333333333,,,,,,,
