metric,saqa_stgcn_mean,tcn_mean,delta,pooled_noise_scale,ratio_to_noise,verdict,n_seeds
overall_spearman,0.35853302251352503,0.28370111508831264,0.0748319074252124,0.08472032598809946,0.8832816275485522,inside noise,3
gait,0.5576633085157604,0.23512547688313715,0.3225378316326233,0.1760510023757585,1.8320704073255276,suggestive,3
lunge,0.350388188821819,0.30607155829964805,0.04431663052217094,0.14412222317141324,0.3074933868419619,inside noise,3
overhead_press,0.3453735422043367,0.296707848470024,0.048665693734312676,0.1722988857514864,0.28244926554258254,inside noise,3
squat,0.48281310736193417,0.467462448365863,0.015350658996071187,0.19208245010577443,0.0799170303565891,inside noise,3
throw,0.1498362497607992,0.22229312583884595,-0.07245687607804674,0.19371860156626744,0.37403158753064103,inside noise,3
